"","sex","age","year","population","citizenship"
"178","Maschi",22,2020,270755,"italiani"
"179","Maschi",22,2021,268172,"italiani"
"180","Maschi",22,2022,269443,"italiani"
"181","Maschi",22,2023,277511,"italiani"
"182","Maschi",22,2024,274042,"italiani"
"183","Maschi",22,2025,272834,"italiani"
"184","Maschi",22,2026,277635,"italiani"
"185","Maschi",23,2019,269219,"italiani"
"186","Maschi",23,2020,270652,"italiani"
"187","Maschi",23,2021,265292,"italiani"
"188","Maschi",23,2022,269241,"italiani"
"189","Maschi",23,2023,270756,"italiani"
"190","Maschi",23,2024,277431,"italiani"
"191","Maschi",23,2025,274042,"italiani"
"192","Maschi",23,2026,273478,"italiani"
"193","Maschi",24,2019,270837,"italiani"
"194","Maschi",24,2020,268779,"italiani"
"195","Maschi",24,2021,264694,"italiani"
"196","Maschi",24,2022,266351,"italiani"
"197","Maschi",24,2023,270322,"italiani"
"198","Maschi",24,2024,270640,"italiani"
"199","Maschi",24,2025,277231,"italiani"
"200","Maschi",24,2026,274657,"italiani"
"201","Maschi",25,2019,275764,"italiani"
"202","Maschi",25,2020,269833,"italiani"
"203","Maschi",25,2021,262154,"italiani"
"204","Maschi",25,2022,265695,"italiani"
"205","Maschi",25,2023,267000,"italiani"
"206","Maschi",25,2024,269789,"italiani"
"207","Maschi",25,2025,269725,"italiani"
"208","Maschi",25,2026,277981,"italiani"
"209","Maschi",26,2019,285011,"italiani"
"210","Maschi",26,2020,274321,"italiani"
"211","Maschi",26,2021,262586,"italiani"
"212","Maschi",26,2022,262991,"italiani"
"213","Maschi",26,2023,266094,"italiani"
"214","Maschi",26,2024,266491,"italiani"
"215","Maschi",26,2025,268907,"italiani"
"216","Maschi",26,2026,270564,"italiani"
"217","Maschi",27,2019,282994,"italiani"
"218","Maschi",27,2020,283614,"italiani"
"219","Maschi",27,2021,266651,"italiani"
"220","Maschi",27,2022,263879,"italiani"
"221","Maschi",27,2023,263642,"italiani"
"222","Maschi",27,2024,265730,"italiani"
"223","Maschi",27,2025,265783,"italiani"
"224","Maschi",27,2026,269693,"italiani"
"225","Maschi",28,2019,284042,"italiani"
"226","Maschi",28,2020,281646,"italiani"
"227","Maschi",28,2021,275861,"italiani"
"228","Maschi",28,2022,268043,"italiani"
"229","Maschi",28,2023,264665,"italiani"
"230","Maschi",28,2024,263426,"italiani"
"231","Maschi",28,2025,265090,"italiani"
"232","Maschi",28,2026,266549,"italiani"
"233","Maschi",29,2019,279442,"italiani"
"234","Maschi",29,2020,282865,"italiani"
"235","Maschi",29,2021,274132,"italiani"
"236","Maschi",29,2022,277520,"italiani"
"237","Maschi",29,2023,269108,"italiani"
"238","Maschi",29,2024,264802,"italiani"
"239","Maschi",29,2025,263119,"italiani"
"240","Maschi",29,2026,265858,"italiani"
"241","Maschi",30,2019,283304,"italiani"
"242","Maschi",30,2020,278479,"italiani"
"243","Maschi",30,2021,275722,"italiani"
"244","Maschi",30,2022,276324,"italiani"
"245","Maschi",30,2023,278754,"italiani"
"246","Maschi",30,2024,269516,"italiani"
"247","Maschi",30,2025,264794,"italiani"
"248","Maschi",30,2026,263901,"italiani"
"249","Maschi",31,2019,273986,"italiani"
"250","Maschi",31,2020,282338,"italiani"
"251","Maschi",31,2021,271988,"italiani"
"252","Maschi",31,2022,278077,"italiani"
"253","Maschi",31,2023,277602,"italiani"
"254","Maschi",31,2024,279309,"italiani"
"255","Maschi",31,2025,269620,"italiani"
"256","Maschi",31,2026,265597,"italiani"
"257","Maschi",32,2019,273959,"italiani"
"258","Maschi",32,2020,273182,"italiani"
"259","Maschi",32,2021,276557,"italiani"
"260","Maschi",32,2022,274457,"italiani"
"261","Maschi",32,2023,279590,"italiani"
