"","year","age","median","source","low90","high90"
"2551",2051,25,"467.94799999999998","UN","467.94799999999998","545.91399999999999"
"2552",2051,26,"471.30149999999998","UN","471.30149999999998","550.20550000000003"
"2553",2051,27,"471.89850000000001","UN","471.89850000000001","511.58699999999999"
"2554",2051,28,"478.51850000000002","UN","478.51850000000002","478.51850000000002"
"2555",2051,29,"488.14","UN","488.14","488.14"
"2556",2051,30,"489.15199999999999","UN","489.15199999999999","489.15199999999999"
"2557",2051,31,"490.64600000000002","UN","490.64600000000002","490.64600000000002"
"2558",2051,32,"502.30599999999998","UN","502.30599999999998","502.30599999999998"
"2559",2051,33,"519.82249999999999","UN","519.82249999999999","519.82249999999999"
"2560",2051,34,"534.65700000000004","UN","534.65700000000004","534.65700000000004"
"2561",2051,35,"543.32500000000005","UN","543.32500000000005","543.32500000000005"
"2562",2051,36,"551.875","UN","551.875","551.875"
"2563",2051,37,"560.16750000000002","UN","560.16750000000002","560.16750000000002"
"2564",2051,38,"572.60500000000002","UN","572.60500000000002","572.60500000000002"
"2565",2051,39,"586.04","UN","586.04","586.04"
"2566",2051,40,"596.83849999999995","UN","596.83849999999995","596.83849999999995"
"2567",2051,41,"608.10900000000004","UN","608.10900000000004","608.10900000000004"
"2568",2051,42,"615.10350000000005","UN","615.10350000000005","615.10350000000005"
"2569",2051,43,"617.24300000000005","UN","617.24300000000005","617.24300000000005"
"2570",2051,44,"615.37699999999995","UN","615.37699999999995","615.37699999999995"
"2571",2051,45,"609.92250000000001","UN","609.92250000000001","609.92250000000001"
"2572",2051,46,"603.78549999999996","UN","603.78549999999996","603.78549999999996"
"2573",2051,47,"594.21600000000001","UN","594.21600000000001","594.21600000000001"
"2574",2051,48,"578.51850000000002","UN","578.51850000000002","578.51850000000002"
"2575",2051,49,"569.95100000000002","UN","569.95100000000002","569.95100000000002"
"2576",2051,50,"572.67399999999998","UN","572.67399999999998","572.67399999999998"
"2577",2051,51,"572.67999999999995","UN","572.67999999999995","572.67999999999995"
"2578",2051,52,"570.92499999999995","UN","570.92499999999995","570.92499999999995"
"2579",2051,53,"569.72900000000004","UN","569.72900000000004","569.72900000000004"
"2580",2051,54,"568.66949999999997","UN","568.66949999999997","568.66949999999997"
"2581",2051,55,"570.94449999999995","UN","570.94449999999995","570.94449999999995"
"2582",2051,56,"574.255","UN","574.255","574.255"
"2583",2051,57,"583.27200000000005","UN","583.27200000000005","583.27200000000005"
"2584",2051,58,"606.57749999999999","UN","606.57749999999999","606.57749999999999"
"2585",2051,59,"624.67150000000004","UN","624.67150000000004","624.67150000000004"
"2586",2051,60,"633.19550000000004","UN","633.19550000000004","633.19550000000004"
"2587",2051,61,"636.63649999999996","UN","636.63649999999996","636.63649999999996"
"2588",2051,62,"642.33600000000001","UN","642.33600000000001","642.33600000000001"
