citizenship,year,tfr_mean,tfr_p10,tfr_p50,tfr_p90,arima_order
italiani,2054,1.199260009806644,1.097827955160341,1.1977497296592068,1.3023318555321244,"(2, 0, 0)"
italiani,2055,1.1966738542727846,1.0952188551094444,1.1959441763163152,1.3022833920034926,"(2, 0, 0)"
italiani,2056,1.1982791453916561,1.0932523927512443,1.196486377233449,1.3023653608708965,"(2, 0, 0)"
italiani,2057,1.1970813506788471,1.0901084702590849,1.199936494420034,1.3021447435348987,"(2, 0, 0)"
italiani,2058,1.1977569936960923,1.0919770337402763,1.1976159814705218,1.3058955890909514,"(2, 0, 0)"
italiani,2059,1.19801962667989,1.0935447869405914,1.196948837393852,1.303319535791168,"(2, 0, 0)"
italiani,2060,1.1991251981059365,1.0960765080064798,1.1973910118635032,1.303088498487035,"(2, 0, 0)"
italiani,2061,1.1999917206458144,1.0965182111958696,1.2002822850417258,1.301717945111964,"(2, 0, 0)"
italiani,2062,1.2007216620958072,1.0958956011164864,1.2007009705100067,1.3040853710901439,"(2, 0, 0)"
italiani,2063,1.1996658203242019,1.0980216131286962,1.199267169523551,1.3074985697807344,"(2, 0, 0)"
italiani,2064,1.1989208593943024,1.0931199327593464,1.197201954101081,1.3044863088520933,"(2, 0, 0)"
italiani,2065,1.1996721707781113,1.0939917345703811,1.2008405937519155,1.3041478268468856,"(2, 0, 0)"
italiani,2066,1.199825860218665,1.0997000514120008,1.1982748334863365,1.3036316226447113,"(2, 0, 0)"
italiani,2067,1.1981786642893872,1.0955048695311853,1.1988091060394641,1.3030194390202021,"(2, 0, 0)"
italiani,2068,1.1987764809098034,1.0977799278370466,1.1978826079599347,1.3029833213158315,"(2, 0, 0)"
italiani,2069,1.200458855713985,1.0977249729274674,1.2011453402918766,1.3031514726900661,"(2, 0, 0)"
italiani,2070,1.1994292895720355,1.092100049453477,1.2004027628012204,1.3053672382237036,"(2, 0, 0)"
italiani,2071,1.200383783054354,1.0954426401696042,1.1995388622066678,1.3069463681371385,"(2, 0, 0)"
italiani,2072,1.1979091652061364,1.0913062209342264,1.1974141429950431,1.303363290361768,"(2, 0, 0)"
italiani,2073,1.1994185773345092,1.098352718083371,1.1989961712220636,1.3019294681087428,"(2, 0, 0)"
italiani,2074,1.1982854887210037,1.0908948753262144,1.1997422888460336,1.3050520554536413,"(2, 0, 0)"
