year,age_mother,citizenship,asfr
2053,31,stranieri,41.03093514249359
2053,32,stranieri,37.1580143330169
2053,33,stranieri,34.135451733707484
2053,34,stranieri,31.360387734626986
2053,35,stranieri,28.068804451911703
2053,36,stranieri,25.12507518119778
2053,37,stranieri,21.65299699860592
2053,38,stranieri,18.143539587631363
2053,39,stranieri,15.037612136343
2053,40,stranieri,11.929610140068572
2053,41,stranieri,8.625499932472747
2053,42,stranieri,5.864846145124814
2053,43,stranieri,3.797360473169172
2053,44,stranieri,2.2127023856151955
2053,45,stranieri,1.2932925196889875
2053,46,stranieri,0.7428218547658972
2053,47,stranieri,0.4352714627128599
2053,48,stranieri,0.2830146477158365
2053,49,stranieri,0.20226777148800398
2053,50,stranieri,0.40289989700619444
2054,14,stranieri,0.021563315977266646
2054,15,stranieri,0.07283104988969762
2054,16,stranieri,0.7412217958090626
2054,17,stranieri,1.8696371961762048
2054,18,stranieri,4.658323609000286
2054,19,stranieri,11.573221002576673
2054,20,stranieri,19.529031991425875
2054,21,stranieri,26.164645322229198
2054,22,stranieri,32.07026134316211
2054,23,stranieri,37.3241869693218
2054,24,stranieri,41.630426767357164
2054,25,stranieri,44.196401444064016
2054,26,stranieri,45.72430988419612
2054,27,stranieri,45.75786757914539
2054,28,stranieri,45.56205857585854
2054,29,stranieri,43.232823462998454
2054,30,stranieri,41.32291019947847
2054,31,stranieri,39.23571178558021
2054,32,stranieri,35.5322425831045
2054,33,stranieri,32.6419259332761
2054,34,stranieri,29.988279096411805
2054,35,stranieri,26.840712204496167
2054,36,stranieri,24.02577969468624
2054,37,stranieri,20.70561508239863
2054,38,stranieri,17.349706692239575
2054,39,stranieri,14.379672646404131
2054,40,stranieri,11.407654822990214
2054,41,stranieri,8.248109095777117
2054,42,stranieri,5.608241981757175
2054,43,stranieri,3.6312148517647795
2054,44,stranieri,2.115890187921937
2054,45,stranieri,1.236707191311655
2054,46,stranieri,0.7103212271523581
2054,47,stranieri,0.4162270638039325
2054,48,stranieri,0.27063192955053944
2054,49,stranieri,0.1934179652024528
2054,50,stranieri,0.3852718487277033
2055,14,stranieri,0.020360995243579663
2055,15,stranieri,0.06877015863202221
2055,16,stranieri,0.6998929791140108
2055,17,stranieri,1.765390540986209
2055,18,stranieri,4.398586235340812
2055,19,stranieri,10.92792490889566
2055,20,stranieri,18.44013823793815
2055,21,stranieri,24.705765083510464
2055,22,stranieri,30.282097584476066
2055,23,stranieri,35.24307644306806
2055,24,stranieri,39.30921024818172
2055,25,stranieri,41.732112098836545
2055,26,stranieri,43.1748278905521
2055,27,stranieri,43.20651448587761
2055,28,stranieri,43.02162334071344
2055,29,stranieri,40.82226100218806
2055,30,stranieri,39.01884009442146
2055,31,stranieri,37.04801904711163
2055,32,stranieri,33.5510467402619
2055,33,stranieri,30.821887476369557
2055,34,stranieri,28.316201862872227
2055,35,stranieri,25.344136036692795
2055,36,stranieri,22.686157667147846
2055,37,stranieri,19.551117771152285
2055,38,stranieri,16.3823270878476
2055,39,stranieri,13.577895285972632
2055,40,stranieri,10.771590317378678
2055,41,stranieri,7.7882135681124485
2055,42,stranieri,5.295539351915401
2055,43,stranieri,3.4287466919812064
2055,44,stranieri,1.9979130342306677
2055,45,stranieri,1.1677512524763944
2055,46,stranieri,0.6707153548512874
2055,47,stranieri,0.3930192033217731
2055,48,stranieri,0.25554211774054836
2055,49,stranieri,0.1826334258451654
2055,50,stranieri,0.3637899795977612
2056,14,stranieri,0.019548166171173463
2056,15,stranieri,0.06602479262307331
2056,16,stranieri,0.6719526277612821
2056,17,stranieri,1.694914577571946
2056,18,stranieri,4.2229907535483315
2056,19,stranieri,10.491672409410244
2056,20,stranieri,17.703991488740726
2056,21,stranieri,23.719488927768637
2056,22,stranieri,29.073209266609325
2056,23,stranieri,33.836141428779264
2056,24,stranieri,37.73995154934061
2056,25,stranieri,40.06612899923609
2056,26,stranieri,41.451250291041546
2056,27,stranieri,41.481671929247916
2056,28,stranieri,41.30416180334248
2056,29,stranieri,39.19259996907155
2056,30,stranieri,37.461173230847336
2056,31,stranieri,35.569029115809194
2056,32,stranieri,32.21165905936043
2056,33,stranieri,29.591450265048778
2056,34,stranieri,27.18579385388638
2056,35,stranieri,24.33237554369148
2056,36,stranieri,21.780506039000485
2056,37,stranieri,18.7706197290715
2056,38,stranieri,15.728329993335775
2056,39,stranieri,13.035853607827956
2056,40,stranieri,10.341578834085624
2056,41,stranieri,7.477301142931936
2056,42,stranieri,5.08413670249603
2056,43,stranieri,3.291868068916957
2056,44,stranieri,1.9181545657012844
2056,45,stranieri,1.1211335819747097
2056,46,stranieri,0.6439398002573009
2056,47,stranieri,0.3773295265327864
2056,48,stranieri,0.24534064870433983
2056,49,stranieri,0.17534253675334155
2056,50,stranieri,0.349267159463988
2057,14,stranieri,0.01887016708651418
2057,15,stranieri,0.06373482083895401
2057,16,stranieri,0.6486469497469233
2057,17,stranieri,1.6361289849947744
2057,18,stranieri,4.076522596875275
2057,19,stranieri,10.127784348103766
2057,20,stranieri,17.08995486151569
2057,21,stranieri,22.896813714104454
2057,22,stranieri,28.0648482214727
2057,23,stranieri,32.66258516185209
2057,24,stranieri,36.430997431523096
2057,25,stranieri,38.67649487450775
2057,26,stranieri,40.013575293335
2057,27,stranieri,40.04294180224294
2057,28,stranieri,39.87158835117994
2057,29,stranieri,37.833262900225016
2057,30,stranieri,36.16188812459368
2057,31,stranieri,34.33537021545157
2057,32,stranieri,31.094445548570416
2057,33,stranieri,28.565114801263462
2057,34,stranieri,26.242895006635358
2057,35,stranieri,23.488443268829997
2057,36,stranieri,21.025081564471794
2057,37,stranieri,18.119588686908326
2057,38,stranieri,15.182816248193479
2057,39,stranieri,12.583724403662858
2057,40,stranieri,9.982896545320274
2057,41,stranieri,7.2179620680418575
2057,42,stranieri,4.907800978705319
2057,43,stranieri,3.177694518416039
2057,44,stranieri,1.8516262259893848
2057,45,stranieri,1.0822487302856265
2057,46,stranieri,0.6216057055229341
2057,47,stranieri,0.36424241281766945
2057,48,stranieri,0.23683137301092214
2057,49,stranieri,0.16926104151846316
2057,50,stranieri,0.3371533472350266
2058,14,stranieri,0.01777011968347024
2058,15,stranieri,0.060019362262147435
2058,16,stranieri,0.61083369725742
2058,17,stranieri,1.5407498909604302
2058,18,stranieri,3.838879333008926
2058,19,stranieri,9.537379248899175
2058,20,stranieri,16.0936859690699
2058,21,stranieri,21.562030595931528
2058,22,stranieri,26.42879151559875
2058,23,stranieri,30.758500697773602
2058,24,stranieri,34.30723117491755
2058,25,stranieri,36.42182603397848
2058,26,stranieri,37.68096056946255
2058,27,stranieri,37.708615140595235
2058,28,stranieri,37.547250838964786
2058,29,stranieri,35.62775075975148
2058,30,stranieri,34.053809752089286
2058,31,stranieri,32.333769770426734
2058,32,stranieri,29.281776698423272
2058,33,stranieri,26.899894763162223
2058,34,stranieri,24.71305012672249
2058,35,stranieri,22.11917076048601
2058,36,stranieri,19.799412164315108
2058,37,stranieri,17.06329668971118
2058,38,stranieri,14.297725114228122
2058,39,stranieri,11.850148845619026
2058,40,stranieri,9.400937765136282
2058,41,stranieri,6.797186756842116
2058,42,stranieri,4.62169785643145
2058,43,stranieri,2.99244896194459
2058,44,stranieri,1.7436845945258583
2058,45,stranieri,1.0191584089471826
2058,46,stranieri,0.5853688381468904
2058,47,stranieri,0.3430086887885435
