"","sex","age","year","population","citizenship"
"579","Maschi",72,2021,4472,"stranieri"
"580","Maschi",72,2022,4593,"stranieri"
"581","Maschi",72,2023,5404,"stranieri"
"582","Maschi",72,2024,5365,"stranieri"
"583","Maschi",72,2025,6212,"stranieri"
"584","Maschi",72,2026,6600,"stranieri"
"585","Maschi",73,2019,3163,"stranieri"
"586","Maschi",73,2020,3642,"stranieri"
"587","Maschi",73,2021,3810,"stranieri"
"588","Maschi",73,2022,4058,"stranieri"
"589","Maschi",73,2023,4641,"stranieri"
"590","Maschi",73,2024,5284,"stranieri"
"591","Maschi",73,2025,5365,"stranieri"
"592","Maschi",73,2026,6036,"stranieri"
"593","Maschi",74,2019,3018,"stranieri"
"594","Maschi",74,2020,3109,"stranieri"
"595","Maschi",74,2021,3285,"stranieri"
"596","Maschi",74,2022,3521,"stranieri"
"597","Maschi",74,2023,4107,"stranieri"
"598","Maschi",74,2024,4593,"stranieri"
"599","Maschi",74,2025,5185,"stranieri"
"600","Maschi",74,2026,5144,"stranieri"
"601","Maschi",75,2019,2765,"stranieri"
"602","Maschi",75,2020,2958,"stranieri"
"603","Maschi",75,2021,2862,"stranieri"
