"","sex","age","year","population","citizenship"
"302","Maschi",37,2024,58642,"stranieri"
"303","Maschi",37,2025,60132,"stranieri"
"304","Maschi",37,2026,62780,"stranieri"
"305","Maschi",38,2019,59848,"stranieri"
"306","Maschi",38,2020,56606,"stranieri"
"307","Maschi",38,2021,59216,"stranieri"
"308","Maschi",38,2022,55065,"stranieri"
"309","Maschi",38,2023,56884,"stranieri"
"310","Maschi",38,2024,57952,"stranieri"
"311","Maschi",38,2025,59528,"stranieri"
"312","Maschi",38,2026,62376,"stranieri"
"313","Maschi",39,2019,57217,"stranieri"
"314","Maschi",39,2020,59397,"stranieri"
"315","Maschi",39,2021,57764,"stranieri"
"316","Maschi",39,2022,57551,"stranieri"
"317","Maschi",39,2023,55378,"stranieri"
"318","Maschi",39,2024,57745,"stranieri"
"319","Maschi",39,2025,58677,"stranieri"
"320","Maschi",39,2026,61147,"stranieri"
"321","Maschi",40,2019,56845,"stranieri"
"322","Maschi",40,2020,56558,"stranieri"
"323","Maschi",40,2021,60224,"stranieri"
"324","Maschi",40,2022,55875,"stranieri"
"325","Maschi",40,2023,57527,"stranieri"
"326","Maschi",40,2024,55869,"stranieri"
"327","Maschi",40,2025,57973,"stranieri"
"328","Maschi",40,2026,60013,"stranieri"
"329","Maschi",41,2019,54377,"stranieri"
"330","Maschi",41,2020,56135,"stranieri"
"331","Maschi",41,2021,57033,"stranieri"
"332","Maschi",41,2022,58351,"stranieri"
"333","Maschi",41,2023,55637,"stranieri"
"334","Maschi",41,2024,57751,"stranieri"
"335","Maschi",41,2025,55636,"stranieri"
"336","Maschi",41,2026,58880,"stranieri"
"337","Maschi",42,2019,52279,"stranieri"
"338","Maschi",42,2020,53622,"stranieri"
"339","Maschi",42,2021,56498,"stranieri"
"340","Maschi",42,2022,55222,"stranieri"
"341","Maschi",42,2023,57821,"stranieri"
"342","Maschi",42,2024,55603,"stranieri"
"343","Maschi",42,2025,57435,"stranieri"
"344","Maschi",42,2026,56495,"stranieri"
"345","Maschi",43,2019,50311,"stranieri"
"346","Maschi",43,2020,51604,"stranieri"
"347","Maschi",43,2021,54049,"stranieri"
"348","Maschi",43,2022,54588,"stranieri"
"349","Maschi",43,2023,54340,"stranieri"
"350","Maschi",43,2024,57637,"stranieri"
"351","Maschi",43,2025,54914,"stranieri"
"352","Maschi",43,2026,57948,"stranieri"
"353","Maschi",44,2019,47545,"stranieri"
"354","Maschi",44,2020,49731,"stranieri"
"355","Maschi",44,2021,51839,"stranieri"
"356","Maschi",44,2022,52292,"stranieri"
"357","Maschi",44,2023,53556,"stranieri"
"358","Maschi",44,2024,53892,"stranieri"
"359","Maschi",44,2025,56808,"stranieri"
"360","Maschi",44,2026,55167,"stranieri"
"361","Maschi",45,2019,43445,"stranieri"
"362","Maschi",45,2020,46711,"stranieri"
"363","Maschi",45,2021,50319,"stranieri"
"364","Maschi",45,2022,50145,"stranieri"
"365","Maschi",45,2023,51139,"stranieri"
"366","Maschi",45,2024,53120,"stranieri"
"367","Maschi",45,2025,53033,"stranieri"
"368","Maschi",45,2026,56752,"stranieri"
"369","Maschi",46,2019,42929,"stranieri"
"370","Maschi",46,2020,42627,"stranieri"
"371","Maschi",46,2021,47139,"stranieri"
"372","Maschi",46,2022,48407,"stranieri"
"373","Maschi",46,2023,49097,"stranieri"
"374","Maschi",46,2024,50638,"stranieri"
"375","Maschi",46,2025,52186,"stranieri"
"376","Maschi",46,2026,52914,"stranieri"
"377","Maschi",47,2019,39397,"stranieri"
"378","Maschi",47,2020,42220,"stranieri"
"379","Maschi",47,2021,43044,"stranieri"
"380","Maschi",47,2022,45459,"stranieri"
"381","Maschi",47,2023,47314,"stranieri"
"382","Maschi",47,2024,48461,"stranieri"
"383","Maschi",47,2025,49611,"stranieri"
"384","Maschi",47,2026,51888,"stranieri"
"385","Maschi",48,2019,39512,"stranieri"
"386","Maschi",48,2020,38833,"stranieri"
"387","Maschi",48,2021,42733,"stranieri"
"388","Maschi",48,2022,41467,"stranieri"
"389","Maschi",48,2023,44168,"stranieri"
"390","Maschi",48,2024,46864,"stranieri"
"391","Maschi",48,2025,47411,"stranieri"
"392","Maschi",48,2026,49294,"stranieri"
"393","Maschi",49,2019,37455,"stranieri"
"394","Maschi",49,2020,38755,"stranieri"
"395","Maschi",49,2021,39214,"stranieri"
"396","Maschi",49,2022,40910,"stranieri"
"397","Maschi",49,2023,40478,"stranieri"
"398","Maschi",49,2024,43840,"stranieri"
"399","Maschi",49,2025,45881,"stranieri"
"400","Maschi",49,2026,46776,"stranieri"
"401","Maschi",50,2019,37064,"stranieri"
"402","Maschi",50,2020,36751,"stranieri"
"403","Maschi",50,2021,39128,"stranieri"
"404","Maschi",50,2022,37445,"stranieri"
"405","Maschi",50,2023,39939,"stranieri"
"406","Maschi",50,2024,40097,"stranieri"
"407","Maschi",50,2025,42985,"stranieri"
"408","Maschi",50,2026,45120,"stranieri"
"409","Maschi",51,2019,33251,"stranieri"
"410","Maschi",51,2020,36299,"stranieri"
"411","Maschi",51,2021,37061,"stranieri"
"412","Maschi",51,2022,37536,"stranieri"
"413","Maschi",51,2023,36581,"stranieri"
"414","Maschi",51,2024,39602,"stranieri"
"415","Maschi",51,2025,39073,"stranieri"
"416","Maschi",51,2026,42328,"stranieri"
"417","Maschi",52,2019,28119,"stranieri"
"418","Maschi",52,2020,32686,"stranieri"
"419","Maschi",52,2021,36312,"stranieri"
"420","Maschi",52,2022,35569,"stranieri"
"421","Maschi",52,2023,36503,"stranieri"
"422","Maschi",52,2024,36263,"stranieri"
"423","Maschi",52,2025,38818,"stranieri"
"424","Maschi",52,2026,38565,"stranieri"
"425","Maschi",53,2019,26487,"stranieri"
"426","Maschi",53,2020,27608,"stranieri"
"427","Maschi",53,2021,32684,"stranieri"
"428","Maschi",53,2022,34916,"stranieri"
"429","Maschi",53,2023,34806,"stranieri"
"430","Maschi",53,2024,36110,"stranieri"
"431","Maschi",53,2025,35461,"stranieri"
"432","Maschi",53,2026,38149,"stranieri"
"433","Maschi",54,2019,24838,"stranieri"
"434","Maschi",54,2020,26007,"stranieri"
"435","Maschi",54,2021,27748,"stranieri"
"436","Maschi",54,2022,31385,"stranieri"
"437","Maschi",54,2023,33971,"stranieri"
"438","Maschi",54,2024,34439,"stranieri"
"439","Maschi",54,2025,35299,"stranieri"
"440","Maschi",54,2026,34752,"stranieri"
